Date,AAPL,MSFT,SPY,TSLA
2018-01-02,40.30417251586914,78.87035369873047,237.2081756591797,21.368667602539062
2018-01-03,40.297157287597656,79.23737335205078,238.7085723876953,21.149999618530273
2018-01-04,40.48433303833008,79.934814453125,239.71473693847656,20.974666595458984
2018-01-05,40.94526290893555,80.92587280273438,241.3122100830078,21.10533332824707
2018-01-08,40.79318618774414,81.00843811035156,241.7534637451172,22.42733383178711
2018-01-09,40.78850555419922,80.95339965820312,242.30067443847656,22.246000289916992
2018-01-10,40.77914810180664,80.5863265991211,241.92999267578125,22.31999969482422
2018-01-11,41.01076889038086,80.82492065429688,243.6951446533203,22.530000686645508
2018-01-12,41.434261322021484,82.21971130371094,245.28370666503906,22.4146671295166
2018-01-16,41.22369384765625,81.07267761230469,244.44525146484375,22.67066764831543
2018-01-17,41.90454864501953,82.7152328491211,246.7752685546875,23.143999099731445
2018-01-18,41.94198226928711,82.67852783203125,246.3604736328125,22.971332550048828
2018-01-19,41.75481033325195,82.5867691040039,247.4813690185547,23.334667205810547
2018-01-22,41.41321563720703,84.06412506103516,249.4935760498047,23.437332153320312
2018-01-23,41.422569274902344,84.33028411865234,250.02316284179688,23.519332885742188
2018-01-24,40.76276397705078,84.25682830810547,249.92611694335938,23.05933380126953
2018-01-25,40.035118103027344,84.72486114501953,250.031982421875,22.50933265686035
2018-01-26,40.128692626953125,86.31233978271484,252.92681884765625,22.856666564941406
2018-01-29,39.298095703125,86.18388366699219,251.24989318847656,23.302000045776367
2018-01-30,39.066463470458984,85.10107421875,248.6728057861328,23.05466651916504
2018-01-31,39.174076080322266,87.18408203125,248.79632568359375,23.62066650390625
2018-02-01,39.25597381591797,86.49588012695312,248.5138397216797,23.28333282470703
2018-02-02,37.55265808105469,84.22014617919922,243.10377502441406,22.916667938232422
2018-02-05,36.61441421508789,80.75150299072266,232.93663024902344,22.208667755126953
2018-02-06,38.14460372924805,83.8072280883789,237.5259552001953,22.264667510986328
2018-02-07,37.32803726196289,82.22889709472656,236.23739624023438,23.0
2018-02-08,36.300899505615234,78.00777435302734,227.37637329101562,21.01533317565918
2018-02-09,36.744911193847656,80.91667938232422,230.79196166992188,20.69466781616211
2018-02-12,38.224952697753906,81.7884292602539,234.1809539794922,21.048667907714844
2018-02-13,38.60789108276367,82.43074798583984,234.7635040283203,21.577333450317383
2018-02-14,39.31970977783203,83.72148895263672,237.93191528320312,21.487333297729492
2018-02-15,40.6400032043457,85.42706298828125,240.96800231933594,22.271333694458008
2018-02-16,40.50843811035156,84.81859588623047,241.03855895996094,22.365999221801758
2018-02-20,40.37218475341797,85.482421875,239.52932739257812,22.31800079345703
2018-02-21,40.18894958496094,84.34840393066406,238.337890625,22.219999313354492
2018-02-22,40.52486801147461,84.56965637207031,238.64678955078125,23.077999114990234
2018-02-23,41.22966766357422,86.71778106689453,242.45069885253906,23.469999313354492
2018-02-26,42.044857025146484,87.97163391113281,245.26600646972656,23.827999114990234
2018-02-27,41.90861129760742,86.84687805175781,242.20361328125,23.39933204650879
2018-02-28,41.84516143798828,86.450439453125,239.75003051757812,22.87066650390625
2018-03-01,41.11220169067383,85.60224151611328,236.263916015625,22.062000274658203
2018-03-02,41.396461486816406,85.78662109375,237.48184204101562,22.341333389282227
2018-03-05,41.53977584838867,86.3305892944336,240.2266845703125,22.22333335876465
2018-03-06,41.50452423095703,86.0355453491211,240.83563232421875,21.8799991607666
2018-03-07,41.119239807128906,86.53339385986328,240.7473602294922,22.15333366394043
2018-03-08,41.56796646118164,87.05892944335938,241.912353515625,21.940000534057617
2018-03-09,42.28213882446289,89.00421142578125,246.12220764160156,21.81133270263672
2018-03-12,42.69090270996094,89.21627044677734,245.8133087158203,23.034000396728516
2018-03-13,42.27979278564453,87.04048156738281,244.22462463378906,22.78933334350586
2018-03-14,41.92034912109375,86.5241928100586,242.97140502929688,21.775333404541016
2018-03-15,41.96967315673828,86.82843780517578,242.70655822753906,21.706666946411133
2018-03-16,41.821685791015625,87.21566009521484,242.9697723388672,21.42333221435547
2018-03-19,41.18268585205078,85.63911437988281,239.6824188232422,20.90399932861328
2018-03-20,41.168582916259766,85.86036682128906,240.08995056152344,20.703332901000977
2018-03-21,40.23591613769531,85.26111602783203,239.62916564941406,21.101999282836914
2018-03-22,39.66740417480469,82.78111267089844,233.63912963867188,20.606666564941406
2018-03-23,38.748836517333984,80.37483215332031,228.6591796875,20.1026668548584
2018-03-26,40.58831787109375,86.45967864990234,234.91510009765625,20.278667449951172
2018-03-27,39.54758834838867,82.48609161376953,230.91883850097656,18.61199951171875
2018-03-28,39.11062240600586,82.41231536865234,230.23648071289062,17.185333251953125
2018-03-29,39.41603469848633,84.14559173583984,233.1783447265625,17.742000579833984
2018-04-02,39.15760803222656,81.6102523803711,228.14527893066406,16.832000732421875
2018-04-03,39.55933380126953,82.70735931396484,231.06944274902344,17.8353328704834
2018-04-04,40.31580352783203,85.12284088134766,233.54164123535156,19.12933349609375
2018-04-05,40.595367431640625,85.16893768310547,235.38473510742188,20.381332397460938
2018-04-06,39.556983947753906,83.186767578125,230.13902282714844,19.953332901000977
2018-04-09,39.949310302734375,83.68460083007812,231.27322387695312,19.310667037963867
2018-04-10,40.701080322265625,85.6299057006836,234.95057678222656,20.31333351135254
2018-04-11,40.51078414916992,84.68954467773438,233.7188720703125,20.062000274658203
2018-04-12,40.91016387939453,86.27526092529297,235.64169311523438,19.60533332824707
2018-04-13,41.04877471923828,85.8143081665039,234.95057678222656,20.022666931152344
